"filename", "language", "YAML", "HTML", "Dart", "Markdown", "Swift", "JSON", "XML", "C++", "CMake", "Properties", "Groovy", "comment", "blank", "total"
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/android/app/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 6, 9, 59
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 11, 1, 46
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/android/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/android/gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/android/settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 5, 26
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/assets/images/account.svg", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/assets/images/appBarSettings.svg", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/assets/images/appBarnotification.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/assets/images/black_card_union.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/assets/images/card_sim.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/assets/images/credit-card.svg", "XML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/assets/images/green_dollar.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/assets/images/home.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/assets/images/investment.svg", "XML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/assets/images/loan.svg", "XML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/assets/images/paypal.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/assets/images/privileges.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/assets/images/service.svg", "XML", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/assets/images/settings.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"/home/astra/Desktop/Dart/responsive&adaptive/bank_dashboard/assets/images/transaction.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
